,Title,Date Published,Peer Review,DOI,Author,Keywords,Methodology,References,Journal,Volume,Issue,Pages
2189860342.xml,"Drawing the diversity line: Numerical thresholds of diversity vary by group status
",2020-02-01,True,10.1037/pspi0000182,"['Danbold, Felix', 'Unzueta, Miguel M.']","['diversity', 'intergroup relations', 'social dominance theory']","['Empirical Study', 'Quantitative Study']",60.0,Journal of Personality and Social Psychology,118.0,2.0,283-306
614468355.xml,"Crossed categorization beyond the two-group model
",2007-04-01,True,10.1037/0022-3514.92.4.649,"['Urada, Darren', 'Stenstrom, Douglas M.', 'Miller, Norman']","['cross-categorization', 'intergroup relations', 'in-group', 'out-group']","['Empirical Study', 'Quantitative Study']",54.0,Journal of Personality and Social Psychology,92.0,4.0,649-664
614300310.xml,"A general approach to testing multifaceted personality constructs
",1991-12-01,True,10.1037/0022-3514.61.6.932,"['Hull, Jay G.', 'Lehn, Daniel A.', 'Tedlie, Judith C.']",['structural equation modeling vs other approaches to measurement of multifaceted personality constructs'],[],51.0,Journal of Personality and Social Psychology,61.0,6.0,932-945
614306882.xml,"Image, issues, and ideology: The processing of information about political candidates
",1991-10-01,True,10.1037/0022-3514.61.4.533,"['Wyer, Robert S.', 'Budesheim, Thomas Lee', 'Shavitt, Sharon', 'Riggle, Ellen D.', 'Melton, R. Jeffrey', 'Kuklinski, James H.']","[""favorable vs unfavorable image & issue stand & conservative vs liberal ideological implications of political candidates' radio speech, candidate image & attributes evaluation, adults""]",['Empirical Study'],43.0,Journal of Personality and Social Psychology,61.0,4.0,533-545
1551095445.xml,"Explaining the relationship between religiousness and substance use: Self-control matters
",2014-08-01,True,10.1037/a0036853,"['DeWall, C. Nathan', 'Pond, Richard S., Jr.', 'Carter, Evan C.', 'McCullough, Michael E.', 'Lambert, Nathaniel M.', 'Fincham, Frank D.', 'Nezlek, John B.']","['alcohol', 'religiosity', 'self-control', 'self-regulation', 'substance use']","['Empirical Study', 'Quantitative Study']",100.0,Journal of Personality and Social Psychology,107.0,2.0,339-351
614484331.xml,"Culture, emotion regulation, and adjustment
",2008-06-01,True,10.1037/0022-3514.94.6.925,"['Matsumoto, David', 'Yoo, Seung Hee', 'Nakagawa, Sanae']","['culture', 'emotion regulation', 'suppression', 'reappraisal', 'adjustment']","['Empirical Study', 'Quantitative Study']",81.0,Journal of Personality and Social Psychology,94.0,6.0,925-937
2164361940.xml,"Developmental structure of personality and interests: A four-wave, 8-year longitudinal study
",2019-01-07,True,10.1037/pspp0000228,"['Hoff, Kevin A.', 'Song, Q. Chelsea', 'Einarsdóttir, Sif', 'Briley, Daniel A.', 'Rounds, James']","['longitudinal', 'personality and interest development', 'continuity and change', 'correlated change', 'gender differences']","['Empirical Study', 'Longitudinal Study', 'Quantitative Study']",108.0,Journal of Personality and Social Psychology,,,
614338904.xml,"Making judgments about ability: The role of implicit theories of ability in moderating inferences from temporal and social comparison information
",2000-05-01,True,10.1037/0022-3514.78.5.965,"['Butler, Ruth']","['implicit theories of intelligence, moderation of ability inferences from temporal & social comparison information, 8th & 9th graders & junior high school math teachers, educational psychology']",[],43.0,Journal of Personality and Social Psychology,78.0,5.0,965-978
614392412.xml,"Night and Day: Are Siblings as Different in Temperament as Parents Say They Are?
",2004-11-01,True,10.1037/0022-3514.87.5.698,"['Saudino, Kimberly J.', 'Wertz, Annie E.', 'Gagne, Jeffrey R.', 'Chawla, Sonia']","['parent ratings', 'nontwin siblings', 'temperament dimensions', 'activity level', 'shyness', 'sibling pairs', 'relationship', 'observer ratings', 'parent perceptions', 'maternal treatment', 'shyness']","['Empirical Study', 'Quantitative Study']",52.0,Journal of Personality and Social Psychology,87.0,5.0,698-706
614385687.xml,"Relation of hassles and personality to subjective well-being
",1987-07-01,True,10.1037/0022-3514.53.1.155,"['Zika, Sheryl', 'Chamberlain, Kerry']","['personality variables', 'locus of control', 'assertiveness', 'meaning in life', 'stressors', 'well being', 'college students', 'community members']",['Empirical Study'],55.0,Journal of Personality and Social Psychology,53.0,1.0,155-162
2041432368.xml,"Prestige in a large-scale social group predicts longitudinal changes in testosterone
",2018-06-01,True,10.1037/pspi0000126,"['Cheng, Joey T.', 'Kornienko, Olga', 'Granger, Douglas A.']","['hormones', 'prestige', 'testosterone', 'social hierarchy', 'social status']","['Empirical Study', 'Longitudinal Study', 'Quantitative Study']",193.0,Journal of Personality and Social Psychology,114.0,6.0,924-944
1438575552.xml,"Reading people’s minds from emotion expressions in interdependent decision making
",2014-01-01,True,10.1037/a0034251,"['de Melo, Celso M.', 'Carnevale, Peter J.', 'Read, Stephen J.', 'Gratch, Jonathan']","['appraisal theories', 'decision making', 'emotion expressions', 'reverse appraisal', 'theory of mind', 'facial expressions']","['Empirical Study', 'Quantitative Study']",65.0,Journal of Personality and Social Psychology,106.0,1.0,73-88
614293283.xml,"Effect of alcoholic intoxication on the appreciation of different types of humor
",1985-09-01,True,10.1037/0022-3514.49.3.781,"['Weaver, James B.', 'Masland, Jonathan L.', 'Kharazmi, Shahin', 'Zillmann, Dolf']","['dose of ethanol, appreciation of blunt vs subtle humor assessed through facial reactions & self report, college students']",['Empirical Study'],23.0,Journal of Personality and Social Psychology,49.0,3.0,781-787
614500204.xml,"Perspective-takers behave more stereotypically
",2008-08-01,True,10.1037/0022-3514.95.2.404,"['Galinsky, Adam D.', 'Wang, Cynthia S.', 'Ku, Gillian']","['perspective-taking', 'stereotypes', 'behavioral priming', 'including the other in the self']","['Empirical Study', 'Quantitative Study']",52.0,Journal of Personality and Social Psychology,95.0,2.0,404-419
614321074.xml,"A study of personality in literary autobiography: An analysis of Thomas Wolfe's
<i>Look Homeward, Angel.</i>
",1989-03-01,True,10.1037/0022-3514.56.3.416,"['Rosenberg, Seymour']","['personality revealed through physical & psychological traits in T. Wolfe\'s ""Look Homeward, Angel""']",[],71.0,Journal of Personality and Social Psychology,56.0,3.0,416-430
614337694.xml,"Flexible correction processes in social judgment: The role of naive theories in corrections for perceived bias
",1995-01-01,True,10.1037/0022-3514.68.1.36,"['Wegener, Duane T.', 'Petty, Richard E.']","['role of naive theories in corrections for perceived bias in social judgment, college students']",['Empirical Study'],60.0,Journal of Personality and Social Psychology,68.0,1.0,36-51
614287711.xml,"Preferences in human mate selection
",1986-03-01,True,10.1037/0022-3514.50.3.559,"['Buss, David M.', 'Barnes, Michael']","['preferences & valued characteristics & sex differences in mate selection, 18–40 yr old spouses & college students']",['Empirical Study'],31.0,Journal of Personality and Social Psychology,50.0,3.0,559-570
614451321.xml,"Emotion without a word: Shame and guilt among Rarámuri Indians and rural Javanese
",2006-12-01,True,10.1037/0022-3514.91.6.1111,"['Breugelmans, Seger M.', 'Poortinga, Ype H.']","['emotion', 'shame', 'guilt', 'cross-cultural differences', 'culture', 'words']","['Empirical Study', 'Quantitative Study']",74.0,Journal of Personality and Social Psychology,91.0,6.0,1111-1122
1618162961.xml,"Remembering the real me: Nostalgia offers a window to the intrinsic self
",2015-01-01,True,10.1037/a0038033,"['Baldwin, Matthew', 'Biernat, Monica', 'Landau, Mark J.']","['nostalgia', 'authenticity', 'well-being', 'intrinsic self', 'autobiographical memory']","['Empirical Study', 'Quantitative Study']",88.0,Journal of Personality and Social Psychology,108.0,1.0,128-147
614404848.xml,"Effects of Implicit Power Motivation on Men's and Women's Implicit Learning and Testosterone Changes After Social Victory or Defeat
",2005-01-01,True,10.1037/0022-3514.88.1.174,"['Schultheiss, Oliver C.', 'Wirth, Michelle M.', 'Torges, Cynthia M.', 'Pang, Joyce S.', 'Villacorta, Mark A.', 'Welsh, Kathryn M.']","['implicit power motivation', 'implicit learning', 'testosterone changes', 'social victory & defeat', 'affect']","['Empirical Study', 'Quantitative Study']",81.0,Journal of Personality and Social Psychology,88.0,1.0,174-188
614320168.xml,"Measuring affect at work: Confirmatory analyses of competing mood structures with conceptual linkage to cortical regulatory systems
",1989-12-01,True,10.1037/0022-3514.57.6.1091,"['Burke, Michael J.', 'Brief, Arthur P.', 'George, Jennifer M.', 'Roberson, Loriann', 'Webster, Jane']","['factor analysis of bipolar Two-Factor Model vs multifactor model, measurement of affect at work, sales & managerial & professional personnel & employed graduate students']",['Empirical Study'],68.0,Journal of Personality and Social Psychology,57.0,6.0,1091-1102
614506042.xml,"Procedural justice as autonomy regulation
",2009-06-01,True,10.1037/a0014153,"['van Prooijen, Jan-Willem']","['procedural justice', 'autonomy', 'self-determination', 'fairness', 'basic psychological needs', 'freedom of choice', 'decision making procedures']","['Empirical Study', 'Quantitative Study']",71.0,Journal of Personality and Social Psychology,96.0,6.0,1166-1180
1518027326.xml,"Approach aversion: Negative hedonic reactions toward approaching stimuli
",2014-05-01,True,10.1037/a0036332,"['Hsee, Christopher K.', 'Tu, Yanping', 'Lu, Zoe Y.', 'Ruan, Bowen']","['affect', 'avoidance', 'decision making', 'goal gradient', 'psychological distance', 'approach aversion effect', 'movement']","['Empirical Study', 'Quantitative Study']",38.0,Journal of Personality and Social Psychology,106.0,5.0,699-712
614340229.xml,"Further evidence for a Jamesian model of self-worth: Reply to Marsh (1995)
",1995-12-01,True,10.1037/0022-3514.69.6.1161,"['Pelham, Brett W.']","['importance of specific self views, global self esteem, college students, implications for Jamesian model of self worth, commentary reply']",[],15.0,Journal of Personality and Social Psychology,69.0,6.0,1161-1165
614478762.xml,"Actor-observer asymmetries in explanations of behavior: New answers to an old question
",2007-10-01,True,10.1037/0022-3514.93.4.491,"['Malle, Bertram F.', 'Knobe, Joshua M.', 'Nelson, Sarah E.']","['attribution', 'self-perception', 'social perception', 'social cognition', 'impression management']","['Empirical Study', 'Quantitative Study']",135.0,Journal of Personality and Social Psychology,93.0,4.0,491-514
614398746.xml,"How are social support effects mediated? A test with parental support and adolescent substance use
",1996-11-01,True,10.1037/0022-3514.71.5.937,"['Wills, Thomas Ashby', 'Cleary, Sean D.']","['parental emotional & instrumental support, tobacco & alcohol & marijuana use, 7th–9th graders']",['Empirical Study'],91.0,Journal of Personality and Social Psychology,71.0,5.0,937-952
614329572.xml,"Overestimating causality: Attributional effects of confirmatory processing
",1993-11-01,True,10.1037/0022-3514.65.5.892,"['Sanbonmatsu, David M.', 'Akimoto, Sharon A.', 'Biggs, Earlene']","['explanation of outcome & consideration of alternative causes & accuracy demands & judgment accountability & confirmatory strategies, overestimation of strength of hypothesized cause, college students']",['Empirical Study'],81.0,Journal of Personality and Social Psychology,65.0,5.0,892-903
614313881.xml,"Self-esteem as an interpersonal monitor: The sociometer hypothesis
",1995-03-01,True,10.1037/0022-3514.68.3.518,"['Leary, Mark R.', 'Tambor, Ellen S.', 'Terdal, Sonja K.', 'Downs, Deborah L.']","['self esteem as interpersonal monitor for group inclusion vs exclusion, application of sociometer model']",[],72.0,Journal of Personality and Social Psychology,68.0,3.0,518-530
821594622.xml,"Self-subjugation among women: Exposure to sexist ideology, self-objectification, and the protective function of the need to avoid closure
",2011-02-01,True,10.1037/a0021864,"['Calogero, Rachel M.', 'Jost, John T.']","['benevolent sexism', 'complementary stereotypes', 'need for cognitive closure', 'self-objectification', 'system justification', 'women', 'self-subjugation']","['Empirical Study', 'Quantitative Study']",142.0,Journal of Personality and Social Psychology,100.0,2.0,211-228
1034648184.xml,"Bidirectionality, mediation, and moderation of metaphorical effects: The embodiment of social suspicion and fishy smells
",2012-11-01,True,10.1037/a0029708,"['Lee, Spike W. S.', 'Schwarz, Norbert']","['embodiment and grounded cognition', 'metaphor', 'priming', 'smell', 'trust and suspicion']","['Empirical Study', 'Quantitative Study']",79.0,Journal of Personality and Social Psychology,103.0,5.0,737-749
614330458.xml,"Mood and the correction of positive versus negative stereotypes
",1997-05-01,True,10.1037/0022-3514.72.5.1002,"['Lambert, Alan J.', 'Khan, Saera R.', 'Lickel, Brian A.', 'Fricke, Katja']","['sadness, correction of positive vs negative stereotypes, college students']",['Empirical Study'],51.0,Journal of Personality and Social Psychology,72.0,5.0,1002-1016
614293782.xml,"Interactive effects of extraversion and arousal on attentional task performance: Multiple resources or encoding processes?
",1989-04-01,True,10.1037/0022-3514.56.4.629,"['Matthews, Gerald', 'Jones, Dylan M.', 'Chamberlain, A. Graham']","['time of day & extraversion & self report arousal, attentional task performance, adults']",['Empirical Study'],39.0,Journal of Personality and Social Psychology,56.0,4.0,629-639
2314362236.xml,"Food restriction and the experience of social isolation
",2019-11-14,True,10.1037/pspi0000223,"['Woolley, Kaitlin', 'Fishbach, Ayelet', 'Wang, Ronghan (Michelle)']","['belonging', 'food consumption', 'social isolation']","['Empirical Study', 'Quantitative Study']",79.0,Journal of Personality and Social Psychology,,,
614453784.xml,"Feeling and Believing: The Influence of Emotion on Trust
",2005-05-01,True,10.1037/0022-3514.88.5.736,"['Dunn, Jennifer R.', 'Schweitzer, Maurice E.']","['emotion', 'trust', 'anger', 'happiness', 'gratitude', 'sadness', 'affect', 'source of emotions', 'guilt', 'pride']","['Empirical Study', 'Quantitative Study']",62.0,Journal of Personality and Social Psychology,88.0,5.0,736-748
614485405.xml,"The mere perception of elaboration creates attitude certainty: Exploring the thoughtfulness heuristic
",2008-09-01,True,10.1037/a0012559,"['Barden, Jamie', 'Petty, Richard E.']","['heuristics', 'elaboration', 'attitude strength', 'certainty', 'persuasion', 'need for cognition', 'distraction']","['Empirical Study', 'Quantitative Study']",76.0,Journal of Personality and Social Psychology,95.0,3.0,489-509
614286315.xml,"Discounting and augmenting facilitative and inhibitory forces: The winner takes almost all
",1985-12-01,True,10.1037/0022-3514.49.6.1482,"['Hansen, Ranald D.', 'Hall, Christine A.']","['test of discounting & augmenting facilitative & inhibitory principles proposed by H. H. Kelley, college students']",['Empirical Study'],32.0,Journal of Personality and Social Psychology,49.0,6.0,1482-1493
614421747.xml,"Do We Know How We Cope? Relating Daily Coping Reports to Global and Time-Limited Retrospective Assessments
",2004-02-01,True,10.1037/0022-3514.86.2.310,"['Todd, Michael', 'Tennen, Howard', 'Carney, Margaret Anne', 'Armeli, Stephen', 'Affleck, Glenn']","['coping behavior', 'coping style', 'coping reports', 'report method', 'method concordance', 'daily report', 'time-limited retrospective report', 'global report']","['Empirical Study', 'Quantitative Study']",43.0,Journal of Personality and Social Psychology,86.0,2.0,310-319
614374595.xml,"What good are positive emotions in crisis? A prospective study of resilience and emotions following the terrorist attacks on the United States on September 11th, 2001
",2003-02-01,True,10.1037/0022-3514.84.2.365,"['Fredrickson, Barbara L.', 'Tugade, Michele M.', 'Waugh, Christian E.', 'Larkin, Gregory R.']","['positive emotions', 'crises', 'resilience', 'terrorist attacks', 'September 11', 'depressive symptoms', 'psychological resources', 'broaden-and-build theory', 'coping']","['Empirical Study', 'Followup Study']",87.0,Journal of Personality and Social Psychology,84.0,2.0,365-376
614409045.xml,"Crowded minds: The implicit bystander effect
",2002-10-01,True,10.1037/0022-3514.83.4.843,"['Garcia, Stephen M.', 'Weaver, Kim', 'Moskowitz, Gordon B.', 'Darley, John M.']","['bystander apathy effect', 'social priming', 'helping behavior', 'social facilitation', 'charity', 'lexical decision', 'accountability', 'imagination', 'group size']",['Empirical Study'],37.0,Journal of Personality and Social Psychology,83.0,4.0,843-853
614322520.xml,"Coping with moral commitment to long-distance dating relationships
",1997-07-01,True,10.1037/0022-3514.73.1.104,"['Lydon, John', 'Pierce, Tamarha', ""O'Regan, Shannon""]","['moral vs enthusiastic commitment, success of long distance dating relationship, adults']",['Empirical Study'],43.0,Journal of Personality and Social Psychology,73.0,1.0,104-113
1676345121.xml,"Attachment insecurity, biased perceptions of romantic partners’ negative emotions, and hostile relationship behavior
",2015-05-01,True,10.1037/a0038987,"['Overall, Nickola C.', 'Fletcher, Garth J. O.', 'Simpson, Jeffry A.', 'Fillo, Jennifer']","['bias', 'accuracy', 'emotions', 'attachment insecurity', 'hostile behavior']","['Empirical Study', 'Quantitative Study']",98.0,Journal of Personality and Social Psychology,108.0,5.0,730-749
614467769.xml,"Social acceptance and self-esteem: Tuning the sociometer to interpersonal value
",2007-06-01,True,10.1037/0022-3514.92.6.1024,"['Anthony, Danu B.', 'Holmes, John G.', 'Wood, Joanne V.']","['self-esteem', 'sociometer theory', 'interpersonal relationships', 'self-concept', 'social acceptance', 'social role', 'attunement', 'self evaluation']","['Empirical Study', 'Quantitative Study']",67.0,Journal of Personality and Social Psychology,92.0,6.0,1024-1039
614473663.xml,"The effects of nonconsciously priming emotion concepts on behavior
",2007-12-01,True,10.1037/0022-3514.93.6.927,"['Zemack-Rugar, Yael', 'Bettman, James R.', 'Fitzsimons, Gavan J.']","['emotions', 'automaticity', 'priming', 'behavior', 'emotion-response']","['Empirical Study', 'Quantitative Study']",70.0,Journal of Personality and Social Psychology,93.0,6.0,927-939
614316351.xml,"Examining the world of the depressed: Do depressed people prefer others who are depressed?
",1991-04-01,True,10.1037/0022-3514.60.4.620,"['Rosenblatt, Abram', 'Greenberg, Jeff']","['similarity in perceptions & conversations, depressed college students vs their best friends']",['Empirical Study'],41.0,Journal of Personality and Social Psychology,60.0,4.0,620-629
614338638.xml,"Activating stereotypes undermines task performance expectations
",1998-11-01,True,10.1037/0022-3514.75.5.1191,"['Stangor, Charles', 'Carr, Christine', 'Kiang, Lisa']","['stereotype activation, expectations about & actual task performance & task-related anxiety, college students']",['Empirical Study'],26.0,Journal of Personality and Social Psychology,75.0,5.0,1191-1197
614337806.xml,"Integrating cognitive and motivational factors in depression: Initial tests of a goal-orientation approach
",1998-01-01,True,10.1037/0022-3514.74.1.139,"['Dykman, Benjamin M.']","['goal orientation model integrating cognitive & motivational factors, prediction of depression following stressful event, college students, implications for cognitive therapy']",['Empirical Study'],121.0,Journal of Personality and Social Psychology,74.0,1.0,139-158
614340415.xml,"Group decisions as social inference heuristics
",1990-05-01,True,10.1037/0022-3514.58.5.801,"['Allison, Scott T.', 'Worth, Leila T.', 'King, Melissa C.']","[""use of group decision outcomes as heuristic cues for judgment of group members' attitudes, college students""]",['Empirical Study'],16.0,Journal of Personality and Social Psychology,58.0,5.0,801-811
1856674931.xml,"The crowded life is a slow life: Population density and life history strategy
",2017-05-01,True,10.1037/pspi0000086,"['Sng, Oliver', 'Neuberg, Steven L.', 'Varnum, Michael E. W.', 'Kenrick, Douglas T.']","['behavioral ecology', 'cross-cultural differences', 'life history theory', 'population density', 'time orientation']","['Empirical Study', 'Quantitative Study']",93.0,Journal of Personality and Social Psychology,112.0,5.0,736-754
909287599.xml,"""On the perpetuation of ignorance: System dependence, system justification, and the motivated avoidance of sociopolitical information"": Correction to Shepherd and Kay (2011)
",2012-02-01,True,10.1037/a0026649,"['Shepherd, Steven', 'Kay, Aaron C.']","['dependence', 'economy', 'government', 'motivated audience', 'system justification', 'ignorance', 'sociopolitical information', 'social issues']",[],,Journal of Personality and Social Psychology,102.0,2.0,280
614308834.xml,"Self-esteem and clarity of the self-concept
",1990-09-01,True,10.1037/0022-3514.59.3.538,"['Campbell, Jennifer D.']","['self esteem & clarity of self concept, adults with high vs low self esteem']",['Empirical Study'],75.0,Journal of Personality and Social Psychology,59.0,3.0,538-549
614298267.xml,"Research on love: Does it measure up?
",1989-05-01,True,10.1037/0022-3514.56.5.784,"['Hendrick, Clyde', 'Hendrick, Susan S.']","['factor structure of psychometric measures of love, unmarried college students']",['Empirical Study'],27.0,Journal of Personality and Social Psychology,56.0,5.0,784-794
614334260.xml,"Collective induction: Social combination and sequential transition
",1985-03-01,True,10.1037/0022-3514.48.3.608,"['Laughlin, Patrick R.', 'Futoran, Gail C.']","['group vs individual hypothesis testing task, role of social combination & sequential transition & instructions in performance, college students']",['Empirical Study'],10.0,Journal of Personality and Social Psychology,48.0,3.0,608-613
614342907.xml,"Behavioral and experiential patterns of avoidantly and securely attached women across adulthood: A 31-year longitudinal perspective
",1998-01-01,True,10.1037/0022-3514.74.1.211,"['Klohnen, Eva C.', 'Bera, Stephan']","['behavior & personality characteristics & marital status & satisfaction, avoidantly vs securely attached 21 yr old females, 31 yr study']",['Empirical Study'],80.0,Journal of Personality and Social Psychology,74.0,1.0,211-223
614474276.xml,"Implicit self-esteem compensation: Automatic threat defense
",2007-11-01,True,10.1037/0022-3514.93.5.798,"['Rudman, Laurie A.', 'Dohn, Matthew C.', 'Fairchild, Kimberly']","['implicit social cognition', 'implicit self-esteem', 'intergroup bias', 'emotion regulation', 'Implicit Association Test']","['Empirical Study', 'Quantitative Study']",115.0,Journal of Personality and Social Psychology,93.0,5.0,798-813
1114949493.xml,"Stereotypes of age differences in personality traits: Universal and accurate?
",2012-12-01,True,10.1037/a0029712,"['Chan, Wayne', 'Mccrae, Robert R.', 'De Fruyt, Filip', 'Jussim, Lee', 'Löckenhoff, Corinna E.', 'De Bolle, Marleen', 'Costa, Paul T., Jr.', 'Sutin, Angelina R.', 'Realo, Anu', 'Allik, Jüri', 'Nakazato, Katsuharu', 'Shimonaka, Yoshiko', 'Hřebíčková, Martina', 'Graf, Sylvie', 'Yik, Michelle', 'Brunner-sciarra, Marina', 'De Figueroa, Nora Leibovich', 'Schmidt, Vanina', 'Ahn, Chang-kyu', 'Ahn, Hyun-nie', 'Aguilar-vafaie, Maria E.', 'Siuta, Jerzy', 'Szmigielska, Barbara', 'Cain, Thomas R.', 'Crawford, Jarret T.', 'Mastor, Khairul Anwar', 'Rolland, Jean-pierre', 'Nansubuga, Florence', 'Miramontez, Daniel R.', 'Benet-martínez, Verónica', 'Rossier, Jérôme', 'Bratko, Denis', 'Marušić, Iris', 'Halberstadt, Jamin', 'Yamaguchi, Mami', 'Knežević, Goran', 'Martin, Thomas A.', 'Gheorghiu, Mirona', 'Smith, Peter B.', 'Barbaranelli, Claudio', 'Wang, Lei', 'Shakespeare-finch, Jane', 'Lima, Margarida P.', 'Klinkosz, Waldemar', 'Sekowski, Andrzej', 'Alcalay, Lidia', 'Simonetti, Franco', 'Avdeyeva, Tatyana V.', 'Pramila, V. S.', 'Terracciano, Antonio']","['aging', 'cross-cultural', 'five factor model', 'personality perception', 'stereotypes']","['Empirical Study', 'Quantitative Study']",61.0,Journal of Personality and Social Psychology,103.0,6.0,1050-1066
614497338.xml,"''It's the end of the world as we know it': Threat and the spatial-symbolic self"": Correction to Burris and Rempel (2004)
",2004-02-01,True,10.1037/h0087891,"['Burris, Christopher T.', 'Rempel, John K.']","['Ameobic Self Scale', 'test development', 'body & social & spatial symbolic self representation', 'boundary threat & disgust sensitivity', 'values', 'authoritarianism', 'unfamiliarity', 'out-groups', 'vermin', 'aversion']",[],,Journal of Personality and Social Psychology,86.0,2.0,284
614304887.xml,"Preferences for separating or combining events
",1991-01-01,True,10.1037/0022-3514.60.1.5,"['Linville, Patricia W.', 'Fischer, Gregory W.']","['preferences for temporal separation vs combination of emotionally positive vs negative events, college students']",['Empirical Study'],27.0,Journal of Personality and Social Psychology,60.0,1.0,5-23
927898058.xml,"The role of prevention focus under stereotype threat: Initial cognitive mobilization is followed by depletion
",2012-06-01,True,10.1037/a0027678,"['Ståhl, Tomas', 'Van Laar, Colette', 'Ellemers, Naomi']","['cognitive control', 'performance', 'regulatory focus', 'stereotype threat', 'cognitive mobilization', 'math performance']","['Empirical Study', 'Quantitative Study']",58.0,Journal of Personality and Social Psychology,102.0,6.0,1239-1251
614296125.xml,"Cues and channels in emotion recognition
",1986-10-01,True,10.1037/0022-3514.51.4.690,"['Wallbott, Harald G.', 'Scherer, Klaus R.']","['analysis of videotaped nonverbal expression of emotions with vs without audio, college students as naive judges']",['Empirical Study'],19.0,Journal of Personality and Social Psychology,51.0,4.0,690-699
614327392.xml,"Unbelieving the unbelievable: Some problems in the rejection of false information
",1990-10-01,True,10.1037/0022-3514.59.4.601,"['Gilbert, Daniel T.', 'Krull, Douglas S.', 'Malone, Patrick S.']","['interruption of true or false propositions, rejection of false information, college students']",['Empirical Study'],59.0,Journal of Personality and Social Psychology,59.0,4.0,601-613
614331138.xml,"Savings in the relearning of trait information as evidence for spontaneous inference generation
",1994-05-01,True,10.1037/0022-3514.66.5.840,"['Carlston, Donal E.', 'Skowronski, John J.']","['impression instructions, savings effect in making spontaneous trait inferences from behavioral descriptions in relearning paradigm, college students']",['Empirical Study'],49.0,Journal of Personality and Social Psychology,66.0,5.0,840-856
614303323.xml,"Sexual arousal in response to aggression: Ideological, aggressive, and sexual correlates
",1986-02-01,True,10.1037/0022-3514.50.2.330,"['Malamuth, Neil M.', 'Check, James V.', 'Briere, John']","['ideological & aggressive & sexual correlates, aggression & sexual arousal, male vs female college students']",['Empirical Study'],64.0,Journal of Personality and Social Psychology,50.0,2.0,330-340
614320960.xml,"Proximity biases in the attribution of civil liability
",1985-02-01,True,10.1037/0022-3514.48.2.283,"['Johnson, Joel T.', 'Drobny, Jerome']","['temporal & causal proximity between negligent act & injury to plaintiff, attribution of civil liability, college students as mock jurors']",['Empirical Study'],37.0,Journal of Personality and Social Psychology,48.0,2.0,283-296
2223414008.xml,"What predicts who we approach for social support? Tests of the attachment figure and strong ties hypotheses
",2020-03-01,True,10.1037/pspi0000189,"['Kammrath, Lara K.', 'Armstrong, Benjamin F., III', 'Lane, Sean P.', 'Francis, Michelle K.', 'Clifton, Mona', 'McNab, Katelyn M.', 'Baumgarten, Olivia M.']","['attachment theory', 'close relationships', 'social support', 'strong ties']","['Empirical Study', 'Quantitative Study']",102.0,Journal of Personality and Social Psychology,118.0,3.0,481-500
614381828.xml,"When Grades Determine Self-Worth: Consequences of Contingent Self-Worth for Male and Female Engineering and Psychology Majors
",2003-09-01,True,10.1037/0022-3514.85.3.507,"['Crocker, Jennifer', 'Karpinski, Andrew', 'Quinn, Diane M.', 'Chase, Sara K.']","['self esteem', 'affect', 'identification with major', 'grades', 'self worth', 'engineering', 'academic competence', 'depressive symptoms', 'psychology', 'instability', 'students', 'gender']","['Empirical Study', 'Quantitative Study']",36.0,Journal of Personality and Social Psychology,85.0,3.0,507-516
614403803.xml,"Universal Features of Personality Traits From the Observer's Perspective: Data From 50 Cultures
",2005-03-01,True,10.1037/0022-3514.88.3.547,"['McCrae, Robert R.', 'Terracciano, Antonio']","['universal features', 'personality traits', ""observer's perspective""]","['Empirical Study', 'Quantitative Study']",52.0,Journal of Personality and Social Psychology,88.0,3.0,547-561
614544921.xml,"The dynamics of death and meaning: The effects of death-relevant cognitions and personal need for structure on perceptions of meaning in life
",2009-10-01,True,10.1037/a0016417,"['Vess, Matthew', 'Routledge, Clay', 'Landau, Mark J.', 'Arndt, Jamie']","['terror management theory', 'meaning in life', 'exploration of novelty', 'personal need for structure', 'death relevant thought']","['Empirical Study', 'Quantitative Study']",65.0,Journal of Personality and Social Psychology,97.0,4.0,728-744
614470287.xml,"Cancer and the threat of death: The cognitive dynamics of death-thought suppression and its impact on behavioral health intentions
",2007-01-01,True,10.1037/0022-3514.92.1.12,"['Arndt, Jamie', 'Cook, Alison', 'Goldenberg, Jamie L.', 'Cox, Cathy R.']","['terror management', 'health threats', 'construct accessibility', 'cancer thoughts', 'death thoughts', 'screening intentions', 'cognitive associations', 'contemplation', 'suppression', 'cognitive load']","['Empirical Study', 'Quantitative Study']",84.0,Journal of Personality and Social Psychology,92.0,1.0,12-29
614483196.xml,"A two-dimensional model that employs explicit and implicit attitudes to characterize prejudice
",2008-06-01,True,10.1037/0022-3514.94.6.971,"['Son Hing, Leanne S.', 'Chung-Yan, Greg A.', 'Hamilton, Leah K.', 'Zanna, Mark P.']","['modern racism', 'aversive racism', 'implicit prejudice', 'conservatism', 'ideology']","['Empirical Study', 'Quantitative Study']",95.0,Journal of Personality and Social Psychology,94.0,6.0,971-987
614333230.xml,"Naturalistic social cognition: Methodology, assessment, and validation
",1986-07-01,True,10.1037/0022-3514.51.1.66,"['Ickes, William', 'Robertson, Eric', 'Tooke, William', 'Teng, Gary']","['methodology & assessment & validation of dyadic interaction paradigm of naturalistic social cognition, college students']",['Empirical Study'],72.0,Journal of Personality and Social Psychology,51.0,1.0,66-82
